광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,07,27,5,"2,668,200",0.022561477,"1,944",0.029437195
서울특별시,종로구,2017,07,28,6,"2,581,950",0.021832174,"1,826",0.02765037
서울특별시,종로구,2017,07,29,7,"2,541,850",0.021493101,"1,772",0.02683267
서울특별시,종로구,2017,07,30,1,"3,115,350",0.02634244,"2,034",0.030800028
서울특별시,종로구,2017,07,31,2,"2,994,700",0.025322261,"1,987",0.030088327
서울특별시,종로구,2017,08,01,3,"2,838,850",0.026487537,"1,905",0.028921589
서울특별시,종로구,2017,08,02,4,"2,666,850",0.024882713,"1,894",0.028754588
서울특별시,종로구,2017,08,03,5,"2,648,700",0.024713366,"1,863",0.028283948
서울특별시,종로구,2017,08,04,6,"2,719,450",0.025373491,"1,886",0.028633132
서울특별시,종로구,2017,08,05,7,"2,689,000",0.025089381,"1,777",0.026978301
서울특별시,종로구,2017,08,06,1,"3,029,200",0.028263574,"2,000",0.030363873
서울특별시,종로구,2017,08,07,2,"3,002,050",0.028010255,"2,081",0.03159361
서울특별시,종로구,2017,08,08,3,"2,567,050",0.023951541,"1,844",0.027995491
서울특별시,종로구,2017,08,09,4,"2,678,350",0.024990012,"1,903",0.028891225
서울특별시,종로구,2017,08,10,5,"2,330,650",0.02174584,"1,717",0.026067385
서울특별시,종로구,2017,08,11,6,"2,476,150",0.02310341,"1,823",0.02767667
서울특별시,종로구,2017,08,12,7,"2,569,900",0.023978133,"1,823",0.02767667
서울특별시,종로구,2017,08,13,1,"2,745,500",0.025616547,"1,933",0.029346683
서울특별시,종로구,2017,08,14,2,"2,459,100",0.022944327,"1,804",0.027388214
서울특별시,종로구,2017,08,15,3,"2,409,450",0.022481074,"1,595",0.024215189
서울특별시,종로구,2017,08,16,4,"3,084,700",0.02878141,"2,165",0.032868893
서울특별시,종로구,2017,08,17,5,"2,580,200",0.024074236,"1,887",0.028648314
서울특별시,종로구,2017,08,18,6,"2,488,100",0.023214908,"1,853",0.028132128
서울특별시,종로구,2017,08,19,7,"2,464,700",0.022996577,"1,739",0.026401388
서울특별시,종로구,2017,08,20,1,"2,459,050",0.022943861,"1,652",0.025080559
서울특별시,종로구,2017,08,21,2,"3,212,200",0.029971033,"2,233",0.033901264
서울특별시,종로구,2017,08,22,3,"2,452,750",0.022885079,"1,842",0.027965127
서울특별시,종로구,2017,08,23,4,"2,380,200",0.022208161,"1,763",0.026765754
서울특별시,종로구,2017,08,24,5,"2,385,450",0.022257145,"1,853",0.028132128
서울특별시,종로구,2017,08,25,6,"2,462,800",0.02297885,"1,872",0.028420585
서울특별시,종로구,2017,08,26,7,"2,409,150",0.022478275,"1,776",0.026963119
서울특별시,종로구,2017,08,27,1,"2,688,700",0.025086582,"1,932",0.029331501
서울특별시,종로구,2017,08,28,2,"2,671,250",0.024923766,"1,888",0.028663496
서울특별시,종로구,2017,08,29,3,"2,427,800",0.022652286,"1,902",0.028876043
서울특별시,종로구,2017,08,30,4,"2,515,300",0.023468694,"1,838",0.027904399
서울특별시,종로구,2017,08,31,5,"2,182,650",0.020364945,"1,736",0.026355842
서울특별시,종로구,2017,09,01,6,"2,252,550",0.022266027,"1,766",0.027593052
서울특별시,종로구,2017,09,02,7,"2,420,900",0.023930135,"1,758",0.027468055
서울특별시,종로구,2017,09,03,1,"2,947,800",0.029138441,"2,046",0.031967941
서울특별시,종로구,2017,09,04,2,"2,554,800",0.025253711,"1,974",0.030842969
서울특별시,종로구,2017,09,05,3,"2,422,500",0.02394595,"1,831",0.028608651
서울특별시,종로구,2017,09,06,4,"2,253,400",0.022274429,"1,795",0.028046165
서울특별시,종로구,2017,09,07,5,"2,376,050",0.023486801,"1,859",0.02904614
서울특별시,종로구,2017,09,08,6,"2,279,600",0.022533411,"1,771",0.027671175
서울특별시,종로구,2017,09,09,7,"2,336,500",0.023095857,"1,697",0.026514954
서울특별시,종로구,2017,09,10,1,"2,864,700",0.028317013,"2,048",0.03199919
서울특별시,종로구,2017,09,11,2,"2,679,200",0.026483381,"1,950",0.030467979
서울특별시,종로구,2017,09,12,3,"2,440,600",0.024124866,"1,833",0.0286399
서울특별시,종로구,2017,09,13,4,"2,304,250",0.022777072,"1,796",0.02806179
서울특별시,종로구,2017,09,14,5,"2,371,400",0.023440837,"1,803",0.028171162
서울특별시,종로구,2017,09,15,6,"2,159,400",0.021345257,"1,734",0.027093064
서울특별시,종로구,2017,09,16,7,"2,309,300",0.02282699,"1,766",0.027593052
서울특별시,종로구,2017,09,17,1,"2,719,000",0.026876796,"1,998",0.03121796
서울특별시,종로구,2017,09,18,2,"2,716,950",0.026856533,"2,029",0.031702323
서울특별시,종로구,2017,09,19,3,"2,251,550",0.022256142,"1,751",0.027358682
서울특별시,종로구,2017,09,20,4,"2,603,850",0.025738561,"1,956",0.030561726
서울특별시,종로구,2017,09,21,5,"2,402,850",0.023751714,"1,848",0.028874269
서울특별시,종로구,2017,09,22,6,"2,396,100",0.023684992,"1,761",0.027514929
서울특별시,종로구,2017,09,23,7,"2,463,700",0.024353205,"1,789",0.027952417
