"Month","gu","type","FW"
2018-10-01,"동대문구","pred",5.38870387247638
2018-11-01,"동대문구","FW_t",5.64786182035811
2018-11-01,"동대문구","pred",5.42656818418385
2018-12-01,"동대문구","FW_t",5.74116062594988
2018-12-01,"동대문구","pred",5.45489664513519
2019-01-01,"동대문구","FW_t",5.52839422683095
2019-01-01,"동대문구","pred",5.47868456860069
2019-02-01,"동대문구","FW_t",5.55481967558527
2019-02-01,"동대문구","pred",5.536596604495
2019-03-01,"동대문구","FW_t",5.43486065635307
2019-03-01,"동대문구","pred",5.61210515533004
2019-04-01,"동대문구","FW_t",5.67687023042177
2019-04-01,"동대문구","pred",5.6716510965134
2019-05-01,"동대문구","FW_t",5.5901934194559
2019-05-01,"동대문구","pred",5.75254246991104
2019-06-01,"동대문구","FW_t",5.8410707687803
2019-06-01,"동대문구","pred",5.82189673930829
2019-07-01,"동대문구","FW_t",6.28167321939153
2019-07-01,"동대문구","pred",5.85708793779668
2019-08-01,"동대문구","FW_t",5.98951693424072
2019-08-01,"동대문구","pred",5.91670313172381
2019-09-01,"동대문구","FW_t",6.24294905842395
2019-09-01,"동대문구","pred",5.95657765738956
2019-10-01,"동대문구","FW_t",5.894390699205
2019-10-01,"동대문구","pred",5.96804281619024
2019-11-01,"동대문구","FW_t",6.04796394717938
2019-11-01,"동대문구","pred",5.99432620207875
2019-12-01,"동대문구","FW_t",6.15279903505673
2019-12-01,"동대문구","pred",6.02861251295708
2020-01-01,"동대문구","FW_t",6.01204173219995
2020-01-01,"동대문구","pred",6.0184321333514
2020-02-01,"동대문구","FW_t",5.95647898224018
2020-02-01,"동대문구","pred",6.07321476482478
2020-03-01,"동대문구","FW_t",6.16216203037264
2020-03-01,"동대문구","pred",6.14842660325132
2020-04-01,"동대문구","FW_t",5.9198076758583
2020-04-01,"동대문구","pred",6.14867039996332
2020-05-01,"동대문구","FW_t",6.01636505759828
2020-05-01,"동대문구","pred",6.22453126876024
2020-06-01,"동대문구","FW_t",6.33220300082707
2020-06-01,"동대문구","pred",6.2969851188284
2018-01-01,"동작구","FW_t",6.21092341831852
2018-01-01,"동작구","pred",6.05517482958355
2018-02-01,"동작구","FW_t",6.07782690519707
2018-02-01,"동작구","pred",6.0656231681698
2018-03-01,"동작구","FW_t",6.00952656728888
2018-03-01,"동작구","pred",6.10236230644474
2018-04-01,"동작구","FW_t",6.19736742850878
2018-04-01,"동작구","pred",6.13138278463305
2018-05-01,"동작구","FW_t",6.06497519804376
2018-05-01,"동작구","pred",6.15261745525561
2018-06-01,"동작구","FW_t",6.15313146624799
2018-06-01,"동작구","pred",6.17302959190874
2018-07-01,"동작구","FW_t",6.42867070245979
2018-07-01,"동작구","pred",6.20578476403691
2018-08-01,"동작구","FW_t",6.04716177866308
2018-08-01,"동작구","pred",6.21153809904631
2018-09-01,"동작구","FW_t",6.09914472027884
2018-09-01,"동작구","pred",6.18864199036913
2018-10-01,"동작구","FW_t",6.27444153674726
2018-10-01,"동작구","pred",6.17517899945824
2018-11-01,"동작구","FW_t",6.20033325390434
2018-11-01,"동작구","pred",6.15942403875715
2018-12-01,"동작구","FW_t",6.3122407609925
2018-12-01,"동작구","pred",6.13260998860421
2019-01-01,"동작구","FW_t",6.04674136546801
2019-01-01,"동작구","pred",6.15549781795369
2019-02-01,"동작구","FW_t",6.09483454550012
2019-02-01,"동작구","pred",6.16455189537692
2019-03-01,"동작구","FW_t",5.98484524025422
2019-03-01,"동작구","pred",6.18860038330534
2019-04-01,"동작구","FW_t",6.25127090831309
2019-04-01,"동작구","pred",6.21786764037062
2019-05-01,"동작구","FW_t",6.13286438652758
2019-05-01,"동작구","pred",6.24649127791994
2019-06-01,"동작구","FW_t",6.2227372670151
