기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.07	강서구	화곡2동	8,241	2,802	2,042	1,683	1,237	391	62	15	6	2	1
2019.07	강서구	화곡3동	9,405	3,242	2,131	1,910	1,560	427	110	16	6	1	2
2019.07	강서구	화곡4동	9,676	3,557	2,400	1,898	1,374	339	82	22	3	1	-
2019.07	강서구	화곡6동	11,418	4,952	2,426	1,894	1,629	395	97	15	4	2	4
2019.07	강서구	화곡8동	11,667	4,266	3,063	2,165	1,667	394	82	26	2	2	-
2019.07	강서구	가양1동	18,938	11,845	2,547	2,067	1,902	465	83	23	4	-	2
2019.07	강서구	가양2동	8,105	3,982	2,179	1,127	621	132	46	11	5	1	1
2019.07	강서구	가양3동	7,924	3,150	2,426	1,414	711	182	29	12	-	-	-
2019.07	강서구	발산1동	13,476	2,684	2,871	3,105	3,679	910	170	41	10	4	2
2019.07	강서구	공항동	12,764	5,581	2,665	2,142	1,808	456	89	22	1	-	-
2019.07	강서구	방화1동	17,433	4,843	3,775	3,672	3,831	1,034	208	52	12	5	1
2019.07	강서구	방화2동	11,602	5,408	2,585	1,775	1,323	381	96	29	3	-	2
2019.07	강서구	방화3동	11,233	4,474	2,871	1,980	1,413	366	100	18	9	2	-
2019.07	강서구	화곡1동	26,153	11,955	6,046	4,347	2,870	710	160	47	11	4	3
2019.07	강서구	우장산동	16,504	3,941	3,176	3,750	4,463	924	186	40	18	4	2
2019.07	구로구	소계	174,918	64,874	39,468	32,678	28,695	7,119	1,560	357	109	40	18
2019.07	구로구	신도림동	13,450	2,958	2,858	3,341	3,387	689	162	37	11	7	-
2019.07	구로구	구로1동	8,041	1,932	1,785	1,872	1,951	415	59	16	7	3	1
2019.07	구로구	구로3동	13,236	7,661	2,203	1,628	1,312	330	69	25	6	2	-
2019.07	구로구	구로4동	10,579	4,960	2,523	1,654	1,122	244	57	10	6	2	1
2019.07	구로구	구로5동	14,459	6,865	2,877	2,231	1,892	441	113	30	7	2	1
2019.07	구로구	고척1동	9,538	2,895	2,156	1,974	1,942	444	96	20	7	4	-
2019.07	구로구	고척2동	11,670	3,711	2,750	2,352	2,209	508	115	17	6	2	-
2019.07	구로구	개봉2동	12,644	3,134	3,211	2,914	2,522	651	166	35	8	2	1
2019.07	구로구	개봉3동	8,843	2,589	2,298	1,917	1,555	388	76	12	6	2	-
2019.07	구로구	오류1동	10,809	5,111	2,374	1,663	1,238	326	71	12	8	1	5
2019.07	구로구	오류2동	19,198	5,485	4,627	3,894	3,782	1,113	218	56	14	4	5
2019.07	구로구	수궁동	9,838	2,788	2,466	2,145	1,787	504	122	19	4	3	-
2019.07	구로구	가리봉동	5,844	3,870	1,014	512	329	93	18	5	2	-	1
2019.07	구로구	구로2동	12,817	6,182	2,929	1,864	1,356	362	78	31	10	4	1
